INDEKS,IDPREDMETA, DOBIJENAOCENA,SKGODINA,OZNAKAROKA,KOLIKOPUTAJEUPISANPREDMET, PROSEK,BROJSESTICA,BROJSEDMICA, BROJOSMICA,BROJDEVETKI, BROJDESETKI
20150381,2168,10,2015,jan1,1,7.29411764705882,13,10,4,2,5
20150098,1578,9,2015,jan1,1,8.65116279069767,1,4,15,12,11
20150098,1580,8,2015,jan1,2,8.65116279069767,1,4,15,12,11
20150098,2170,8,2015,jan1,1,8.65116279069767,1,4,15,12,11
20150098,2171,8,2015,jan1,2,8.65116279069767,1,4,15,12,11
20150098,2174,9,2015,jan1,1,8.65116279069767,1,4,15,12,11
20150435,1595,7,2015,jan1,1,8.22222222222222,2,9,11,7,7
20150435,2181,9,2015,jan1,1,8.22222222222222,2,9,11,7,7
20150101,2174,9,2015,jan1,1,7.88571428571429,6,9,8,7,5
20150101,2175,10,2015,jan1,1,7.88571428571429,6,9,8,7,5
20150095,1595,9,2015,jan1,1,7.8421052631579,10,6,10,4,8
20150095,2168,10,2015,jan1,1,7.8421052631579,10,6,10,4,8
20150243,2171,8,2015,jan1,2,8.7906976744186,1,4,11,14,13
20150243,2174,10,2015,jan1,1,8.7906976744186,1,4,11,14,13
20150259,2168,10,2015,jan1,1,8.475,3,7,10,8,12
20150235,1578,9,2015,jan1,1,7.9375,3,4,2,5,2
20150235,2170,5,2015,jan1,2,7.9375,3,4,2,5,2
20150412,1595,8,2015,jan1,2,7.5,8,10,7,4,3
20150412,2168,10,2015,jan1,1,7.5,8,10,7,4,3
20150245,1578,8,2015,jan1,1,7.47058823529412,8,10,10,4,2
20150245,2170,8,2015,jan1,1,7.47058823529412,8,10,10,4,2
20150245,2171,7,2015,jan1,1,7.47058823529412,8,10,10,4,2
20150245,2174,10,2015,jan1,1,7.47058823529412,8,10,10,4,2
20150112,1580,5,2015,jan1,2,8.12195121951219,7,5,12,10,7
20150112,2170,8,2015,jan1,1,8.12195121951219,7,5,12,10,7
20150112,2171,8,2015,jan1,2,8.12195121951219,7,5,12,10,7
20150112,2174,10,2015,jan1,1,8.12195121951219,7,5,12,10,7
20150172,1578,7,2015,jan1,1,7.36585365853659,13,13,5,7,3
20150172,2170,5,2015,jan1,2,7.36585365853659,13,13,5,7,3
20150172,2171,7,2015,jan1,2,7.36585365853659,13,13,5,7,3
20150172,2174,10,2015,jan1,1,7.36585365853659,13,13,5,7,3
20150317,1594,6,2015,jan1,2,7.61111111111111,11,5,13,1,6
20150317,1595,8,2015,jan1,2,7.61111111111111,11,5,13,1,6
20150317,2168,10,2015,jan1,1,7.61111111111111,11,5,13,1,6
20150411,1594,8,2015,jan1,2,7.76315789473684,8,9,10,6,5
20150411,1595,8,2015,jan1,2,7.76315789473684,8,9,10,6,5
20150411,2168,10,2015,jan1,1,7.76315789473684,8,9,10,6,5
20150113,1594,5,2015,jan1,2,7.52941176470588,4,4,6,2,1
20150113,1595,10,2015,jan1,2,7.52941176470588,4,4,6,2,1
20150113,2168,9,2015,jan1,1,7.52941176470588,4,4,6,2,1
20150248,1578,5,2015,jan1,2,6.96428571428571,13,9,2,2,2
20150248,2170,5,2015,jan1,2,6.96428571428571,13,9,2,2,2
20150248,2174,9,2015,jan1,1,6.96428571428571,13,9,2,2,2
20150248,2175,10,2015,jan1,1,6.96428571428571,13,9,2,2,2
20150334,1578,6,2015,jan1,1,7.66666666666667,5,18,8,8,3
20150334,2170,5,2015,jan1,2,7.66666666666667,5,18,8,8,3
20150334,2171,8,2015,jan1,2,7.66666666666667,5,18,8,8,3
20150334,2174,9,2015,jan1,1,7.66666666666667,5,18,8,8,3
20150036,1578,5,2015,jan1,3,7.27272727272727,10,4,3,2,3
20150036,1580,5,2015,jan1,3,7.27272727272727,10,4,3,2,3
20150036,2170,5,2015,jan1,3,7.27272727272727,10,4,3,2,3
20150036,2171,7,2015,jan1,2,7.27272727272727,10,4,3,2,3
20150036,2174,10,2015,jan1,1,7.27272727272727,10,4,3,2,3
20150036,2175,10,2015,jan1,1,7.27272727272727,10,4,3,2,3
20150214,1578,8,2015,jan1,1,8.14285714285714,1,1,2,2,1
20150214,2171,8,2015,jan1,1,8.14285714285714,1,1,2,2,1
20150214,2174,10,2015,jan1,1,8.14285714285714,1,1,2,2,1
20150021,1578,8,2015,jan1,1,8.86046511627907,2,4,7,15,15
20150021,1580,10,2015,jan1,1,8.86046511627907,2,4,7,15,15
20150021,2170,7,2015,jan1,1,8.86046511627907,2,4,7,15,15
20150021,2171,9,2015,jan1,2,8.86046511627907,2,4,7,15,15
20150346,1594,9,2015,jan1,2,7.7,10,9,9,7,5
20150346,1595,10,2015,jan1,2,7.7,10,9,9,7,5
20150346,2168,9,2015,jan1,2,7.7,10,9,9,7,5
20150315,1578,6,2015,jan1,1,7.42857142857143,15,9,8,5,5
20150315,2174,10,2015,jan1,1,7.42857142857143,15,9,8,5,5
20150244,1578,7,2015,jan1,1,7.24137931034483,8,13,3,3,2
20150244,1580,5,2015,jan1,3,7.24137931034483,8,13,3,3,2
20150244,2170,6,2015,jan1,1,7.24137931034483,8,13,3,3,2
20150244,2174,10,2015,jan1,1,7.24137931034483,8,13,3,3,2
20150218,1578,5,2015,jan1,4,6.92105263157895,17,12,5,3,1
20150218,1580,5,2015,jan1,2,6.92105263157895,17,12,5,3,1
20150218,2170,5,2015,jan1,3,6.92105263157895,17,12,5,3,1
20150218,2174,8,2015,jan1,1,6.92105263157895,17,12,5,3,1
20150413,1578,9,2015,jan1,1,8.07142857142857,5,9,12,10,6
20150413,2170,8,2015,jan1,1,8.07142857142857,5,9,12,10,6
20150413,2174,10,2015,jan1,1,8.07142857142857,5,9,12,10,6
20150243,1578,8,2015,jan1,2,8.7906976744186,1,4,11,14,13
20150243,1580,10,2015,jan1,2,8.7906976744186,1,4,11,14,13
20150243,2170,9,2015,jan1,1,8.7906976744186,1,4,11,14,13
20150242,2170,5,2015,jan1,4,7.26666666666667,6,4,1,3,1
20150242,2171,5,2015,jan1,2,7.26666666666667,6,4,1,3,1
20150242,2174,10,2015,jan1,1,7.26666666666667,6,4,1,3,1
20150273,1578,10,2015,jan1,1,8.075,5,13,7,4,11
20150273,2170,7,2015,jan1,1,8.075,5,13,7,4,11
20150273,2174,10,2015,jan1,1,8.075,5,13,7,4,11
20150287,1578,8,2015,jan1,1,7.30769230769231,8,8,6,2,2
20150287,1580,5,2015,jan1,3,7.30769230769231,8,8,6,2,2
20150287,2174,10,2015,jan1,1,7.30769230769231,8,8,6,2,2
20150123,1594,8,2015,jan1,2,7.68181818181818,3,9,5,2,3
20150123,1595,5,2015,jan1,3,7.68181818181818,3,9,5,2,3
20150123,2168,10,2015,jan1,1,7.68181818181818,3,9,5,2,3
20150375,1594,5,2015,jan1,2,7.36363636363636,9,9,10,4,1
20150375,1595,9,2015,jan1,2,7.36363636363636,9,9,10,4,1
20150375,2168,10,2015,jan1,1,7.36363636363636,9,9,10,4,1
20150380,1594,5,2015,jan1,2,8.06666666666667,1,5,3,4,2
20150380,1595,9,2015,jan1,2,8.06666666666667,1,5,3,4,2
20150380,2168,10,2015,jan1,1,8.06666666666667,1,5,3,4,2
20150240,1594,5,2015,jan1,2,7.31034482758621,11,4,9,4,1
20150240,1595,5,2015,jan1,3,7.31034482758621,11,4,9,4,1
20150240,2168,9,2015,jan1,1,7.31034482758621,11,4,9,4,1
20150189,1594,5,2015,jan1,2,8,3,12,9,10,4
20150189,1595,7,2015,jan1,2,8,3,12,9,10,4
20150189,2168,9,2015,jan1,1,8,3,12,9,10,4
20150421,1578,6,2015,jan1,1,6.8,12,3,3,1,1
20150421,1580,5,2015,jan1,2,6.8,12,3,3,1,1
20150421,2170,5,2015,jan1,6,6.8,12,3,3,1,1
20150421,2171,5,2015,jan1,4,6.8,12,3,3,1,1
20150421,2174,9,2015,jan1,1,6.8,12,3,3,1,1
20150150,1594,6,2015,jan1,2,7.52380952380952,11,13,7,7,4
20150150,1595,5,2015,jan1,2,7.52380952380952,11,13,7,7,4
20150150,2168,10,2015,jan1,1,7.52380952380952,11,13,7,7,4
20150345,1578,7,2015,jan1,1,7.625,10,10,9,7,4
20150345,1580,8,2015,jan1,2,7.625,10,10,9,7,4
20150345,2171,8,2015,jan1,1,7.625,10,10,9,7,4
20150345,2174,10,2015,jan1,1,7.625,10,10,9,7,4
20150013,1578,7,2015,jan1,1,7.84615384615385,9,10,4,10,6
20150013,1580,5,2015,jan1,2,7.84615384615385,9,10,4,10,6
20150013,2170,6,2015,jan1,1,7.84615384615385,9,10,4,10,6
20150056,1578,9,2015,jan1,1,7.62790697674419,10,13,7,9,4
20150056,2170,8,2015,jan1,1,7.62790697674419,10,13,7,9,4
20150056,2174,10,2015,jan1,1,7.62790697674419,10,13,7,9,4
20150066,1578,10,2015,jan1,1,8.575,3,6,8,11,12
20150066,2170,9,2015,jan1,1,8.575,3,6,8,11,12
20150066,2171,8,2015,jan1,2,8.575,3,6,8,11,12
20150066,2174,10,2015,jan1,1,8.575,3,6,8,11,12
20150382,1594,9,2015,jan1,2,8.53846153846154,4,5,8,10,12
20150382,1595,10,2015,jan1,1,8.53846153846154,4,5,8,10,12
20150270,1594,5,2015,jan1,3,7.38235294117647,8,15,4,4,3
20150270,2168,9,2015,jan1,2,7.38235294117647,8,15,4,4,3
20150084,1594,9,2015,jan1,1,8.19354838709677,2,9,7,7,6
20150084,1595,5,2015,jan1,3,8.19354838709677,2,9,7,7,6
20150084,2168,10,2015,jan1,1,8.19354838709677,2,9,7,7,6
20150296,1594,6,2015,jan1,2,7.34375,8,13,5,4,2
20150296,1595,9,2015,jan1,1,7.34375,8,13,5,4,2
20150296,2168,8,2015,jan1,1,7.34375,8,13,5,4,2
20150012,1578,8,2015,jan1,1,7.05714285714286,15,9,7,2,2
20150012,2170,5,2015,jan1,4,7.05714285714286,15,9,7,2,2
20150012,2174,9,2015,jan1,1,7.05714285714286,15,9,7,2,2
20150426,1578,5,2015,jan1,6,7,6,1,1,1,1
20150426,1580,5,2015,jan1,6,7,6,1,1,1,1
20150426,2171,5,2015,jan1,3,7,6,1,1,1,1
20150426,2174,10,2015,jan1,1,7,6,1,1,1,1
20150242,1578,8,2015,jan1,1,7.26666666666667,6,4,1,3,1
20150121,2168,10,2015,jan1,1,7.5,9,12,7,4,4
20150007,1578,8,2015,jan1,2,8.0952380952381,7,8,10,8,9
20150007,2170,8,2015,jan1,1,8.0952380952381,7,8,10,8,9
20150007,2174,10,2015,jan1,1,8.0952380952381,7,8,10,8,9
20150065,1594,5,2015,jan1,2,7.68292682926829,9,13,6,8,5
20150065,1595,5,2015,jan1,2,7.68292682926829,9,13,6,8,5
20150065,2168,10,2015,jan1,2,7.68292682926829,9,13,6,8,5
20150429,1578,7,2015,jan1,1,7.22222222222222,12,13,5,3,3
20150429,1580,5,2015,jan1,2,7.22222222222222,12,13,5,3,3
20150429,2170,6,2015,jan1,1,7.22222222222222,12,13,5,3,3
20150429,2174,10,2015,jan1,1,7.22222222222222,12,13,5,3,3
20150183,1578,7,2015,jan1,1,7.28,10,6,4,2,3
20150183,2174,9,2015,jan1,1,7.28,10,6,4,2,3
20150282,1595,9,2015,jan1,1,8.60526315789474,1,7,8,12,10
20150282,2168,10,2015,jan1,1,8.60526315789474,1,7,8,12,10
20150374,1578,8,2015,jan1,2,8.32558139534884,3,7,15,9,9
20150374,2170,8,2015,jan1,1,8.32558139534884,3,7,15,9,9
20150374,2174,9,2015,jan1,1,8.32558139534884,3,7,15,9,9
20150001,1594,8,2015,jan1,2,7.77777777777778,9,5,13,3,6
20150001,1595,7,2015,jan1,2,7.77777777777778,9,5,13,3,6
20150001,2168,10,2015,jan1,1,7.77777777777778,9,5,13,3,6
20150032,1578,8,2015,jan1,1,8.80952380952381,1,1,15,13,12
20150032,1580,10,2015,jan1,2,8.80952380952381,1,1,15,13,12
20150032,2170,8,2015,jan1,1,8.80952380952381,1,1,15,13,12
20150032,2171,8,2015,jan1,2,8.80952380952381,1,1,15,13,12
20150032,2174,10,2015,jan1,1,8.80952380952381,1,1,15,13,12
20150387,1578,10,2015,jan1,1,7.97222222222222,7,6,10,7,6
20150387,1580,5,2015,jan1,2,7.97222222222222,7,6,10,7,6
20150387,2170,5,2015,jan1,2,7.97222222222222,7,6,10,7,6
20150387,2171,8,2015,jan1,1,7.97222222222222,7,6,10,7,6
20150387,2174,10,2015,jan1,1,7.97222222222222,7,6,10,7,6
20150324,1578,7,2015,jan1,1,7.51351351351351,8,14,5,8,2
20150324,2170,5,2015,jan1,2,7.51351351351351,8,14,5,8,2
20150324,2171,7,2015,jan1,2,7.51351351351351,8,14,5,8,2
20150324,2174,9,2015,jan1,1,7.51351351351351,8,14,5,8,2
20150107,2168,10,2015,jan1,1,6.9,17,14,6,2,1
20150239,1578,9,2015,jan1,1,8.45238095238095,7,4,8,9,14
20150239,2171,10,2015,jan1,2,8.45238095238095,7,4,8,9,14
20150239,2174,10,2015,jan1,1,8.45238095238095,7,4,8,9,14
20150382,2168,10,2015,jan1,1,8.53846153846154,4,5,8,10,12
20150110,1578,8,2015,jan1,1,7.31034482758621,7,13,4,3,2
20150110,2170,5,2015,jan1,4,7.31034482758621,7,13,4,3,2
20150110,2171,5,2015,jan1,3,7.31034482758621,7,13,4,3,2
20150278,1578,6,2015,jan1,1,7.80487804878049,8,8,12,10,3
20150278,2170,5,2015,jan1,2,7.80487804878049,8,8,12,10,3
20150278,2171,7,2015,jan1,2,7.80487804878049,8,8,12,10,3
20150278,2174,9,2015,jan1,1,7.80487804878049,8,8,12,10,3
20150398,1580,5,2015,jan1,3,7.27272727272727,8,5,5,3,1
20150398,2170,5,2015,jan1,3,7.27272727272727,8,5,5,3,1
20150398,2171,6,2015,jan1,2,7.27272727272727,8,5,5,3,1
20150398,2174,10,2015,jan1,1,7.27272727272727,8,5,5,3,1
20150100,1578,7,2015,jan1,2,8.16279069767442,6,11,8,6,12
20150100,1580,5,2015,jan1,2,8.16279069767442,6,11,8,6,12
20150100,2170,8,2015,jan1,1,8.16279069767442,6,11,8,6,12
20150100,2171,8,2015,jan1,2,8.16279069767442,6,11,8,6,12
20150100,2174,10,2015,jan1,1,8.16279069767442,6,11,8,6,12
20150121,1595,8,2015,jan1,2,7.5,9,12,7,4,4
20150272,1578,9,2015,jan1,1,8.46511627906977,6,6,5,14,12
20150272,1580,10,2015,jan1,2,8.46511627906977,6,6,5,14,12
20150272,2170,9,2015,jan1,1,8.46511627906977,6,6,5,14,12
20150272,2171,9,2015,jan1,1,8.46511627906977,6,6,5,14,12
20150272,2174,10,2015,jan1,1,8.46511627906977,6,6,5,14,12
20150076,1594,5,2015,jan1,2,7.18421052631579,14,11,8,2,3
20150076,1595,5,2015,jan1,4,7.18421052631579,14,11,8,2,3
20150076,2168,9,2015,jan1,1,7.18421052631579,14,11,8,2,3
20150204,1594,5,2015,jan1,3,7.08333333333333,11,5,5,1,2
20150204,1595,5,2015,jan1,5,7.08333333333333,11,5,5,1,2
20150204,2168,10,2015,jan1,1,7.08333333333333,11,5,5,1,2
20150379,1578,8,2015,jan1,1,8.47619047619048,1,9,10,13,9
20150178,1595,6,2015,jan1,2,7.80487804878049,11,5,9,13,3
20150178,2168,9,2015,jan1,1,7.80487804878049,11,5,9,13,3
20150167,1578,7,2015,jan1,1,8.06976744186047,6,5,18,8,6
20150167,1580,5,2015,jan1,2,8.06976744186047,6,5,18,8,6
20150167,2170,8,2015,jan1,1,8.06976744186047,6,5,18,8,6
20150167,2171,8,2015,jan1,2,8.06976744186047,6,5,18,8,6
20150167,2174,9,2015,jan1,1,8.06976744186047,6,5,18,8,6
20150086,1594,5,2015,jan1,2,7.61111111111111,7,11,10,5,3
20150086,1595,7,2015,jan1,2,7.61111111111111,7,11,10,5,3
20150086,2168,10,2015,jan1,1,7.61111111111111,7,11,10,5,3
20150136,1578,6,2015,jan1,2,6.77777777777778,11,3,2,1,1
20150136,1580,5,2015,jan1,3,6.77777777777778,11,3,2,1,1
20150136,2171,5,2015,jan1,7,6.77777777777778,11,3,2,1,1
20150045,1578,8,2015,jan1,1,7.4,4,1,3,1,1
20150045,1580,5,2015,jan1,3,7.4,4,1,3,1,1
20150045,2170,7,2015,jan1,1,7.4,4,1,3,1,1
20150045,2171,5,2015,jan1,2,7.4,4,1,3,1,1
20150409,1594,5,2015,jan1,2,7.375,10,15,8,4,3
20150409,1595,8,2015,jan1,2,7.375,10,15,8,4,3
20150409,2168,10,2015,jan1,1,7.375,10,15,8,4,3
20150061,1594,5,2015,jan1,2,7.26666666666667,7,2,2,3,1
20150061,2168,9,2015,jan1,1,7.26666666666667,7,2,2,3,1
20150208,1594,5,2015,jan1,3,7.17241379310345,8,12,6,2,1
20150208,1595,5,2015,jan1,2,7.17241379310345,8,12,6,2,1
20150208,2168,9,2015,jan1,1,7.17241379310345,8,12,6,2,1
20150424,1595,8,2015,jan1,2,8,8,5,16,7,7
20150424,2168,10,2015,jan1,1,8,8,5,16,7,7
20150139,2170,9,2015,jan1,1,8.86486486486487,2,2,7,14,12
20150139,2171,8,2015,jan1,2,8.86486486486487,2,2,7,14,12
20150139,2179,10,2015,jan1,2,8.86486486486487,2,2,7,14,12
20150139,2326,7,2015,jan1,2,8.86486486486487,2,2,7,14,12
20150020,1578,6,2015,jan1,1,7.375,3,2,1,1,1
20150020,2170,5,2015,jan1,3,7.375,3,2,1,1,1
20150020,2174,10,2015,jan1,1,7.375,3,2,1,1,1
20150058,1578,9,2015,jan1,1,8.90697674418605,3,3,8,10,19
20150058,2170,8,2015,jan1,1,8.90697674418605,3,3,8,10,19
20150058,2171,8,2015,jan1,2,8.90697674418605,3,3,8,10,19
20150058,2174,10,2015,jan1,1,8.90697674418605,3,3,8,10,19
